144005	 paeašwnm 	pa	足	ānea	彼ら				
126014	 bdnšwn 	bdn	体	ānea	彼ら				
139013	 wsţšwn 	wsţ	中央	ānea	彼ら				
80001	 şbħšwn 	şbħ	朝	ānea	彼ら				
94040	 r´ysšwn 	r´ys	長	ānea	彼ら				
119021	 ŕlbšwn 	ŕlb2	倒置	ānea	彼ら				
82014	 sršwn 	sr	頭	ānea	彼ら				
123003	 drškšwn 	drške	馬車	ānea	彼ら				
84023	 jrymšwn 	jryme	罰金	ānea	彼ら				
184004	 pdranšwn 	pdr	父	ānea	彼ら				
123001	 pdršwn 	pdr	父	ānea	彼ら				
150012	 pdršwn 	pdr	父	ānea	彼ら				
150012	 pdršwn 	pdr	父	ānea	彼ら				
150012	 'mwšwn 	'mw	父方のおじ	ānea	彼ら				
150012	 'mwšwn 	'mw	父方のおじ	ānea	彼ら				
94034	 gyršwn 	gyr	捕えること	ānea	彼ら				
94037	 gyršwn 	gyr	捕えること	ānea	彼ら				
196001	 gyršwn 	gyr	捕えること	ānea	彼ら				
132005	 dyšw 	madr	母	ānea	彼ら				
123002	 dwstšwn 	dwst	友人	ānea	彼ら				
87069	 dmš 	aw	三人称単数人称代名詞（彼、彼女）	dm1	尾				
102039	 šwer dar 	dara	…を有する	šwer	夫				
87004	 lbašw 	aw	三人称単数人称代名詞（彼、彼女）	lbas	服				
200012	 drstsw 	drst	正確に	sw	方向				
102040	 erjwry 	er1	おのおのの	ţwr	方法				
127004	 ayjwry 	ayn	この	ţwr	方法				
112098	 emwnjwr 	eman	まさにその	ţwr	方法				
118008	 emwnjwr 	eman	まさにその	ţwr	方法				
94047	 wsaylš 	aw	三人称単数人称代名詞（彼、彼女）	wsyle	方法				
109012	 bygnaee 	bwdn	・・・である	bygnae	無実の				
96172	 dxtrw	ra	・・・を	dxtr	娘				
120020	 bsm 	be1	・・・に	asm	名前				
120021	 bsm 	be1	・・・に	asm	名前				
120016	 bsm 	be1	・・・に	asm	名前				
124005	 bsm 	be1	・・・に	asm	名前				
125006	 bsm 	be1	・・・に	asm	名前				
178004	 bsm 	be1	・・・に	asm	名前				
74036	 bfrman 	be1	・・・に	frman	命令				
74037	 bfrman 	be1	・・・に	frman	命令				
74043	 bfrman 	be1	・・・に	frman	命令				
99012	 bŕwl 	be1	・・・に	ŕwl	約束				
110022	 ŕrardad 	ŕrar	安静	dadn	与える				
91011	 xlaşe aš 	aw	三人称単数人称代名詞（彼、彼女）	xlaşe	要約				
166008	 nyayy 	ne1	（否定の答え）いいえ	āmdn	来る				
89017	 ŕwč 	ŕwč	（去勢しない）雄羊						
89017	 ŕwč 	ŕwč	（去勢しない）雄羊						
89015	 ŕwčy 	ŕwč	（去勢しない）雄羊						
107029	 dawwd 	dawwd	（人名）ダビデ						
72019	 mae 	mae	月						
72019	 mae 	mae	月						
72018	 mae 	mae	月						
72020	 mae 	mae	月						
72020	 mae 	mae	月						
198001	 mae 	mae	月						
198001	 mae 	mae	月						
198001	 mae 	mae	月						
98021	 ŕwrt 	ŕwrt	ぐっと飲むこと						
98021	 ŕwrt 	ŕwrt	ぐっと飲むこと						
98001	 ŕwrt 	ŕwrt	ぐっと飲むこと						
98022	 ŕwrt 	ŕwrt	ぐっと飲むこと						
87070	 abry 	abr	雲						
112062	 knd 	knd	鈍い						
112060	 knd 	knd	鈍い						
74042	 ħsn 	2ħsn	（人名）ハサン						
74026	 ħsn 	2ħsn	（人名）ハサン						
74025	 ħsn 	2ħsn	（人名）ハサン						
150019	 ħsn 	2ħsn	（人名）ハサン						
150028	 ħsn 	2ħsn	（人名）ハサン						
150031	 ħsn 	2ħsn	（人名）ハサン						
150017	 ħsn 	2ħsn	（人名）ハサン						
150019	 ħsn 	2ħsn	（人名）ハサン						
150028	 ħsn 	2ħsn	（人名）ハサン						
150031	 ħsn 	2ħsn	（人名）ハサン						
150017	 ħsn 	2ħsn	（人名）ハサン						
168001	 ħsn 	2ħsn	（人名）ハサン						
94031	 awe 	awe	ああ！						
173006	 awe 	awe	ああ！						
173006	 awe 	awe	ああ！						
194002	 dwr 	dwr	遠い						
76001	 gđšte 	gđšte	過去の						
122001	 gđšte 	gđšte	過去の						
184007	 gđšte 	gđšte	過去の						
184007	 gđšte 	gđšte	過去の						
89021	 ke	ke1	・・・であるということ						
89027	 ke	ke1	・・・であるということ						
89009	 ke	ke1	・・・であるということ						
96165	 ke	ke1	・・・であるということ						
123003	 ke	ke1	・・・であるということ						
139001	 ke	ke1	・・・であるということ						
72019	 ke 	ke1	・・・であるということ						
72019	 ke 	ke1	・・・であるということ						
72020	 ke 	ke1	・・・であるということ						
72029	 ke 	ke1	・・・であるということ						
74037	 ke 	ke1	・・・であるということ						
74039	 ke 	ke1	・・・であるということ						
75012	 ke 	ke1	・・・であるということ						
75013	 ke 	ke1	・・・であるということ						
76002	 ke 	ke1	・・・であるということ						
76004	 ke 	ke1	・・・であるということ						
76005	 ke 	ke1	・・・であるということ						
76009	 ke 	ke1	・・・であるということ						
77001	 ke 	ke1	・・・であるということ						
77001	 ke 	ke1	・・・であるということ						
78002	 ke 	ke1	・・・であるということ						
78002	 ke 	ke1	・・・であるということ						
78002	 ke 	ke1	・・・であるということ						
79001	 ke 	ke1	・・・であるということ						
79002	 ke 	ke1	・・・であるということ						
79014	 ke 	ke1	・・・であるということ						
79030	 ke 	ke1	・・・であるということ						
79032	 ke 	ke1	・・・であるということ						
79043	 ke 	ke1	・・・であるということ						
72004	 ke 	ke1	・・・であるということ						
72006	 ke 	ke1	・・・であるということ						
72013	 ke 	ke1	・・・であるということ						
72020	 ke 	ke1	・・・であるということ						
72020	 ke 	ke1	・・・であるということ						
72021	 ke 	ke1	・・・であるということ						
72025	 ke 	ke1	・・・であるということ						
72026	 ke 	ke1	・・・であるということ						
73009	 ke 	ke1	・・・であるということ						
73012	 ke 	ke1	・・・であるということ						
74006	 ke 	ke1	・・・であるということ						
74010	 ke 	ke1	・・・であるということ						
74018	 ke 	ke1	・・・であるということ						
74019	 ke 	ke1	・・・であるということ						
74023	 ke 	ke1	・・・であるということ						
74025	 ke 	ke1	・・・であるということ						
74037	 ke 	ke1	・・・であるということ						
75007	 ke 	ke1	・・・であるということ						
75009	 ke 	ke1	・・・であるということ						
75011	 ke 	ke1	・・・であるということ						
75017	 ke 	ke1	・・・であるということ						
75019	 ke 	ke1	・・・であるということ						
75024	 ke 	ke1	・・・であるということ						
75026	 ke 	ke1	・・・であるということ						
75028	 ke 	ke1	・・・であるということ						
75029	 ke 	ke1	・・・であるということ						
76001	 ke 	ke1	・・・であるということ						
76007	 ke 	ke1	・・・であるということ						
76018	 ke 	ke1	・・・であるということ						
76018	 ke 	ke1	・・・であるということ						
76018	 ke 	ke1	・・・であるということ						
77008	 ke 	ke1	・・・であるということ						
77008	 ke 	ke1	・・・であるということ						
77009	 ke 	ke1	・・・であるということ						
77012	 ke 	ke1	・・・であるということ						
77012	 ke 	ke1	・・・であるということ						
77013	 ke 	ke1	・・・であるということ						
78004	 ke 	ke1	・・・であるということ						
78006	 ke 	ke1	・・・であるということ						
78007	 ke 	ke1	・・・であるということ						
78008	 ke 	ke1	・・・であるということ						
78009	 ke 	ke1	・・・であるということ						
78010	 ke 	ke1	・・・であるということ						
78012	 ke 	ke1	・・・であるということ						
78013	 ke 	ke1	・・・であるということ						
79004	 ke 	ke1	・・・であるということ						
79006	 ke 	ke1	・・・であるということ						
79007	 ke 	ke1	・・・であるということ						
79009	 ke 	ke1	・・・であるということ						
79013	 ke 	ke1	・・・であるということ						
79016	 ke 	ke1	・・・であるということ						
79024	 ke 	ke1	・・・であるということ						
79027	 ke 	ke1	・・・であるということ						
79034	 ke 	ke1	・・・であるということ						
79035	 ke 	ke1	・・・であるということ						
79040	 ke 	ke1	・・・であるということ						
79040	 ke 	ke1	・・・であるということ						
79042	 ke 	ke1	・・・であるということ						
72013	 ke 	ke1	・・・であるということ						
72018	 ke 	ke1	・・・であるということ						
72023	 ke 	ke1	・・・であるということ						
72025	 ke 	ke1	・・・であるということ						
74035	 ke 	ke1	・・・であるということ						
74043	 ke 	ke1	・・・であるということ						
75024	 ke 	ke1	・・・であるということ						
75028	 ke 	ke1	・・・であるということ						
76007	 ke 	ke1	・・・であるということ						
76012	 ke 	ke1	・・・であるということ						
77007	 ke 	ke1	・・・であるということ						
77015	 ke 	ke1	・・・であるということ						
77015	 ke 	ke1	・・・であるということ						
78005	 ke 	ke1	・・・であるということ						
78007	 ke 	ke1	・・・であるということ						
79005	 ke 	ke1	・・・であるということ						
79016	 ke 	ke1	・・・であるということ						
79017	 ke 	ke1	・・・であるということ						
79040	 ke 	ke1	・・・であるということ						
72021	 ke 	ke1	・・・であるということ						
77015	 ke 	ke1	・・・であるということ						
78001	 ke 	ke1	・・・であるということ						
78012	 ke 	ke1	・・・であるということ						
79041	 ke 	ke1	・・・であるということ						
73015	 ke 	ke1	・・・であるということ						
78012	 ke 	ke1	・・・であるということ						
79031	 ke 	ke1	・・・であるということ						
75014	 ke 	ke1	・・・であるということ						
78005	 ke 	ke1	・・・であるということ						
78012	 ke 	ke1	・・・であるということ						
81008	 ke 	ke1	・・・であるということ						
82010	 ke 	ke1	・・・であるということ						
82011	 ke 	ke1	・・・であるということ						
82016	 ke 	ke1	・・・であるということ						
82017	 ke 	ke1	・・・であるということ						
82019	 ke 	ke1	・・・であるということ						
82021	 ke 	ke1	・・・であるということ						
82021	 ke 	ke1	・・・であるということ						
82025	 ke 	ke1	・・・であるということ						
82027	 ke 	ke1	・・・であるということ						
82027	 ke 	ke1	・・・であるということ						
82030	 ke 	ke1	・・・であるということ						
82030	 ke 	ke1	・・・であるということ						
83001	 ke 	ke1	・・・であるということ						
83008	 ke 	ke1	・・・であるということ						
83025	 ke 	ke1	・・・であるということ						
83027	 ke 	ke1	・・・であるということ						
84008	 ke 	ke1	・・・であるということ						
84010	 ke 	ke1	・・・であるということ						
84012	 ke 	ke1	・・・であるということ						
84017	 ke 	ke1	・・・であるということ						
84019	 ke 	ke1	・・・であるということ						
84025	 ke 	ke1	・・・であるということ						
85004	 ke 	ke1	・・・であるということ						
85005	 ke 	ke1	・・・であるということ						
85006	 ke 	ke1	・・・であるということ						
85006	 ke 	ke1	・・・であるということ						
85010	 ke 	ke1	・・・であるということ						
85012	 ke 	ke1	・・・であるということ						
85012	 ke 	ke1	・・・であるということ						
85016	 ke 	ke1	・・・であるということ						
85019	 ke 	ke1	・・・であるということ						
85020	 ke 	ke1	・・・であるということ						
85020	 ke 	ke1	・・・であるということ						
80001	 ke 	ke1	・・・であるということ						
80003	 ke 	ke1	・・・であるということ						
80007	 ke 	ke1	・・・であるということ						
80013	 ke 	ke1	・・・であるということ						
81005	 ke 	ke1	・・・であるということ						
81007	 ke 	ke1	・・・であるということ						
81010	 ke 	ke1	・・・であるということ						
82002	 ke 	ke1	・・・であるということ						
82004	 ke 	ke1	・・・であるということ						
82009	 ke 	ke1	・・・であるということ						
82009	 ke 	ke1	・・・であるということ						
82012	 ke 	ke1	・・・であるということ						
82022	 ke 	ke1	・・・であるということ						
83022	 ke 	ke1	・・・であるということ						
83029	 ke 	ke1	・・・であるということ						
84003	 ke 	ke1	・・・であるということ						
84005	 ke 	ke1	・・・であるということ						
84006	 ke 	ke1	・・・であるということ						
84007	 ke 	ke1	・・・であるということ						
84011	 ke 	ke1	・・・であるということ						
84015	 ke 	ke1	・・・であるということ						
84015	 ke 	ke1	・・・であるということ						
84016	 ke 	ke1	・・・であるということ						
84017	 ke 	ke1	・・・であるということ						
84017	 ke 	ke1	・・・であるということ						
84024	 ke 	ke1	・・・であるということ						
84025	 ke 	ke1	・・・であるということ						
85007	 ke 	ke1	・・・であるということ						
85009	 ke 	ke1	・・・であるということ						
85011	 ke 	ke1	・・・であるということ						
85011	 ke 	ke1	・・・であるということ						
85012	 ke 	ke1	・・・であるということ						
85013	 ke 	ke1	・・・であるということ						
85018	 ke 	ke1	・・・であるということ						
85018	 ke 	ke1	・・・であるということ						
80010	 ke 	ke1	・・・であるということ						
81005	 ke 	ke1	・・・であるということ						
84027	 ke 	ke1	・・・であるということ						
80014	 ke 	ke1	・・・であるということ						
86005	 ke 	ke1	・・・であるということ						
86006	 ke 	ke1	・・・であるということ						
87005	 ke 	ke1	・・・であるということ						
87035	 ke 	ke1	・・・であるということ						
87057	 ke 	ke1	・・・であるということ						
87058	 ke 	ke1	・・・であるということ						
87062	 ke 	ke1	・・・であるということ						
87068	 ke 	ke1	・・・であるということ						
87069	 ke 	ke1	・・・であるということ						
87071	 ke 	ke1	・・・であるということ						
88017	 ke 	ke1	・・・であるということ						
88029	 ke 	ke1	・・・であるということ						
88041	 ke 	ke1	・・・であるということ						
88042	 ke 	ke1	・・・であるということ						
89012	 ke 	ke1	・・・であるということ						
90010	 ke 	ke1	・・・であるということ						
87007	 ke 	ke1	・・・であるということ						
87017	 ke 	ke1	・・・であるということ						
87026	 ke 	ke1	・・・であるということ						
87034	 ke 	ke1	・・・であるということ						
87043	 ke 	ke1	・・・であるということ						
87044	 ke 	ke1	・・・であるということ						
87064	 ke 	ke1	・・・であるということ						
88032	 ke 	ke1	・・・であるということ						
89001	 ke 	ke1	・・・であるということ						
89002	 ke 	ke1	・・・であるということ						
89003	 ke 	ke1	・・・であるということ						
89004	 ke 	ke1	・・・であるということ						
89006	 ke 	ke1	・・・であるということ						
89015	 ke 	ke1	・・・であるということ						
89016	 ke 	ke1	・・・であるということ						
89023	 ke 	ke1	・・・であるということ						
89025	 ke 	ke1	・・・であるということ						
89025	 ke 	ke1	・・・であるということ						
89029	 ke 	ke1	・・・であるということ						
89029	 ke 	ke1	・・・であるということ						
89031	 ke 	ke1	・・・であるということ						
89032	 ke 	ke1	・・・であるということ						
89034	 ke 	ke1	・・・であるということ						
89036	 ke 	ke1	・・・であるということ						
90008	 ke 	ke1	・・・であるということ						
90015	 ke 	ke1	・・・であるということ						
90025	 ke 	ke1	・・・であるということ						
87043	 ke 	ke1	・・・であるということ						
87043	 ke 	ke1	・・・であるということ						
89001	 ke 	ke1	・・・であるということ						
89004	 ke 	ke1	・・・であるということ						
89007	 ke 	ke1	・・・であるということ						
89022	 ke 	ke1	・・・であるということ						
89027	 ke 	ke1	・・・であるということ						
90004	 ke 	ke1	・・・であるということ						
90011	 ke 	ke1	・・・であるということ						
90017	 ke 	ke1	・・・であるということ						
90017	 ke 	ke1	・・・であるということ						
87047	 ke 	ke1	・・・であるということ						
89012	 ke 	ke1	・・・であるということ						
90009	 ke 	ke1	・・・であるということ						
90017	 ke 	ke1	・・・であるということ						
90022	 ke 	ke1	・・・であるということ						
89007	 ke 	ke1	・・・であるということ						
91035	 ke 	ke1	・・・であるということ						
92014	 ke 	ke1	・・・であるということ						
91018	 ke 	ke1	・・・であるということ						
91023	 ke 	ke1	・・・であるということ						
91024	 ke 	ke1	・・・であるということ						
91028	 ke 	ke1	・・・であるということ						
91030	 ke 	ke1	・・・であるということ						
91037	 ke 	ke1	・・・であるということ						
91052	 ke 	ke1	・・・であるということ						
91054	 ke 	ke1	・・・であるということ						
92005	 ke 	ke1	・・・であるということ						
92008	 ke 	ke1	・・・であるということ						
92013	 ke 	ke1	・・・であるということ						
92028	 ke 	ke1	・・・であるということ						
92048	 ke 	ke1	・・・であるということ						
91003	 ke 	ke1	・・・であるということ						
91013	 ke 	ke1	・・・であるということ						
91026	 ke 	ke1	・・・であるということ						
91032	 ke 	ke1	・・・であるということ						
91038	 ke 	ke1	・・・であるということ						
91041	 ke 	ke1	・・・であるということ						
91042	 ke 	ke1	・・・であるということ						
91046	 ke 	ke1	・・・であるということ						
92048	 ke 	ke1	・・・であるということ						
91041	 ke 	ke1	・・・であるということ						
93001	 ke 	ke1	・・・であるということ						
93003	 ke 	ke1	・・・であるということ						
93004	 ke 	ke1	・・・であるということ						
93006	 ke 	ke1	・・・であるということ						
93009	 ke 	ke1	・・・であるということ						
93018	 ke 	ke1	・・・であるということ						
93033	 ke 	ke1	・・・であるということ						
93033	 ke 	ke1	・・・であるということ						
94018	 ke 	ke1	・・・であるということ						
94056	 ke 	ke1	・・・であるということ						
93008	 ke 	ke1	・・・であるということ						
93008	 ke 	ke1	・・・であるということ						
93014	 ke 	ke1	・・・であるということ						
93015	 ke 	ke1	・・・であるということ						
93018	 ke 	ke1	・・・であるということ						
93021	 ke 	ke1	・・・であるということ						
93029	 ke 	ke1	・・・であるということ						
93033	 ke 	ke1	・・・であるということ						
93033	 ke 	ke1	・・・であるということ						
94018	 ke 	ke1	・・・であるということ						
94027	 ke 	ke1	・・・であるということ						
94028	 ke 	ke1	・・・であるということ						
94034	 ke 	ke1	・・・であるということ						
94037	 ke 	ke1	・・・であるということ						
94051	 ke 	ke1	・・・であるということ						
94056	 ke 	ke1	・・・であるということ						
94061	 ke 	ke1	・・・であるということ						
94062	 ke 	ke1	・・・であるということ						
93030	 ke 	ke1	・・・であるということ						
94041	 ke 	ke1	・・・であるということ						
94059	 ke 	ke1	・・・であるということ						
93008	 ke 	ke1	・・・であるということ						
93014	 ke 	ke1	・・・であるということ						
94060	 ke 	ke1	・・・であるということ						
94031	 ke 	ke1	・・・であるということ						
95007	 ke 	ke1	・・・であるということ						
95020	 ke 	ke1	・・・であるということ						
95027	 ke 	ke1	・・・であるということ						
95001	 ke 	ke1	・・・であるということ						
95004	 ke 	ke1	・・・であるということ						
95008	 ke 	ke1	・・・であるということ						
95011	 ke 	ke1	・・・であるということ						
95012	 ke 	ke1	・・・であるということ						
95014	 ke 	ke1	・・・であるということ						
95028	 ke 	ke1	・・・であるということ						
95029	 ke 	ke1	・・・であるということ						
95030	 ke 	ke1	・・・であるということ						
95032	 ke 	ke1	・・・であるということ						
95033	 ke 	ke1	・・・であるということ						
95034	 ke 	ke1	・・・であるということ						
95035	 ke 	ke1	・・・であるということ						
95004	 ke 	ke1	・・・であるということ						
95006	 ke 	ke1	・・・であるということ						
95015	 ke 	ke1	・・・であるということ						
95031	 ke 	ke1	・・・であるということ						
95034	 ke 	ke1	・・・であるということ						
95004	 ke 	ke1	・・・であるということ						
95035	 ke 	ke1	・・・であるということ						
95032	 ke 	ke1	・・・であるということ						
95028	 ke 	ke1	・・・であるということ						
96020	 ke 	ke1	・・・であるということ						
96021	 ke 	ke1	・・・であるということ						
96047	 ke 	ke1	・・・であるということ						
96049	 ke 	ke1	・・・であるということ						
96064	 ke 	ke1	・・・であるということ						
96076	 ke 	ke1	・・・であるということ						
96093	 ke 	ke1	・・・であるということ						
96130	 ke 	ke1	・・・であるということ						
96135	 ke 	ke1	・・・であるということ						
96136	 ke 	ke1	・・・であるということ						
96158	 ke 	ke1	・・・であるということ						
96005	 ke 	ke1	・・・であるということ						
96006	 ke 	ke1	・・・であるということ						
96019	 ke 	ke1	・・・であるということ						
96021	 ke 	ke1	・・・であるということ						
96021	 ke 	ke1	・・・であるということ						
96025	 ke 	ke1	・・・であるということ						
96026	 ke 	ke1	・・・であるということ						
96028	 ke 	ke1	・・・であるということ						
96034	 ke 	ke1	・・・であるということ						
96046	 ke 	ke1	・・・であるということ						
96048	 ke 	ke1	・・・であるということ						
96048	 ke 	ke1	・・・であるということ						
96050	 ke 	ke1	・・・であるということ						
96053	 ke 	ke1	・・・であるということ						
96067	 ke 	ke1	・・・であるということ						
96071	 ke 	ke1	・・・であるということ						
96076	 ke 	ke1	・・・であるということ						
96077	 ke 	ke1	・・・であるということ						
96081	 ke 	ke1	・・・であるということ						
96086	 ke 	ke1	・・・であるということ						
96087	 ke 	ke1	・・・であるということ						
96093	 ke 	ke1	・・・であるということ						
96096	 ke 	ke1	・・・であるということ						
96099	 ke 	ke1	・・・であるということ						
96104	 ke 	ke1	・・・であるということ						
96105	 ke 	ke1	・・・であるということ						
96111	 ke 	ke1	・・・であるということ						
96119	 ke 	ke1	・・・であるということ						
96120	 ke 	ke1	・・・であるということ						
96123	 ke 	ke1	・・・であるということ						
96127	 ke 	ke1	・・・であるということ						
96129	 ke 	ke1	・・・であるということ						
96140	 ke 	ke1	・・・であるということ						
96144	 ke 	ke1	・・・であるということ						
96149	 ke 	ke1	・・・であるということ						
96151	 ke 	ke1	・・・であるということ						
96156	 ke 	ke1	・・・であるということ						
96161	 ke 	ke1	・・・であるということ						
96163	 ke 	ke1	・・・であるということ						
96170	 ke 	ke1	・・・であるということ						
96173	 ke 	ke1	・・・であるということ						
96174	 ke 	ke1	・・・であるということ						
96004	 ke 	ke1	・・・であるということ						
96013	 ke 	ke1	・・・であるということ						
96027	 ke 	ke1	・・・であるということ						
96028	 ke 	ke1	・・・であるということ						
96053	 ke 	ke1	・・・であるということ						
96082	 ke 	ke1	・・・であるということ						
96083	 ke 	ke1	・・・であるということ						
96095	 ke 	ke1	・・・であるということ						
96096	 ke 	ke1	・・・であるということ						
96113	 ke 	ke1	・・・であるということ						
96113	 ke 	ke1	・・・であるということ						
96115	 ke 	ke1	・・・であるということ						
96122	 ke 	ke1	・・・であるということ						
96125	 ke 	ke1	・・・であるということ						
96132	 ke 	ke1	・・・であるということ						
96139	 ke 	ke1	・・・であるということ						
96140	 ke 	ke1	・・・であるということ						
96153	 ke 	ke1	・・・であるということ						
96054	 ke 	ke1	・・・であるということ						
96077	 ke 	ke1	・・・であるということ						
96090	 ke 	ke1	・・・であるということ						
96096	 ke 	ke1	・・・であるということ						
96044	 ke 	ke1	・・・であるということ						
96096	 ke 	ke1	・・・であるということ						
96117	 ke 	ke1	・・・であるということ						
96149	 ke 	ke1	・・・であるということ						
96149	 ke 	ke1	・・・であるということ						
97005	 ke 	ke1	・・・であるということ						
97009	 ke 	ke1	・・・であるということ						
98001	 ke 	ke1	・・・であるということ						
98003	 ke 	ke1	・・・であるということ						
98012	 ke 	ke1	・・・であるということ						
98020	 ke 	ke1	・・・であるということ						
99004	 ke 	ke1	・・・であるということ						
99006	 ke 	ke1	・・・であるということ						
100012	 ke 	ke1	・・・であるということ						
100015	 ke 	ke1	・・・であるということ						
100018	 ke 	ke1	・・・であるということ						
98002	 ke 	ke1	・・・であるということ						
98006	 ke 	ke1	・・・であるということ						
98007	 ke 	ke1	・・・であるということ						
98008	 ke 	ke1	・・・であるということ						
98016	 ke 	ke1	・・・であるということ						
98024	 ke 	ke1	・・・であるということ						
99001	 ke 	ke1	・・・であるということ						
99021	 ke 	ke1	・・・であるということ						
99024	 ke 	ke1	・・・であるということ						
99025	 ke 	ke1	・・・であるということ						
100001	 ke 	ke1	・・・であるということ						
100015	 ke 	ke1	・・・であるということ						
100015	 ke 	ke1	・・・であるということ						
100020	 ke 	ke1	・・・であるということ						
98012	 ke 	ke1	・・・であるということ						
98025	 ke 	ke1	・・・であるということ						
98001	 ke 	ke1	・・・であるということ						
98018	 ke 	ke1	・・・であるということ						
99016	 ke 	ke1	・・・であるということ						
98001	 ke 	ke1	・・・であるということ						
99010	 ke 	ke1	・・・であるということ						
99014	 ke 	ke1	・・・であるということ						
100019	 ke 	ke1	・・・であるということ						
102050	 ke 	ke1	・・・であるということ						
101002	 ke 	ke1	・・・であるということ						
101004	 ke 	ke1	・・・であるということ						
101005	 ke 	ke1	・・・であるということ						
101006	 ke 	ke1	・・・であるということ						
102004	 ke 	ke1	・・・であるということ						
102005	 ke 	ke1	・・・であるということ						
102011	 ke 	ke1	・・・であるということ						
102025	 ke 	ke1	・・・であるということ						
102037	 ke 	ke1	・・・であるということ						
102045	 ke 	ke1	・・・であるということ						
102048	 ke 	ke1	・・・であるということ						
102048	 ke 	ke1	・・・であるということ						
102049	 ke 	ke1	・・・であるということ						
101008	 ke 	ke1	・・・であるということ						
102038	 ke 	ke1	・・・であるということ						
102049	 ke 	ke1	・・・であるということ						
102056	 ke 	ke1	・・・であるということ						
101005	 ke 	ke1	・・・であるということ						
102005	 ke 	ke1	・・・であるということ						
102021	 ke 	ke1	・・・であるということ						
103017	 ke 	ke1	・・・であるということ						
105014	 ke 	ke1	・・・であるということ						
105014	 ke 	ke1	・・・であるということ						
105014	 ke 	ke1	・・・であるということ						
107021	 ke 	ke1	・・・であるということ						
107029	 ke 	ke1	・・・であるということ						
106001	 ke 	ke1	・・・であるということ						
106003	 ke 	ke1	・・・であるということ						
106004	 ke 	ke1	・・・であるということ						
106008	 ke 	ke1	・・・であるということ						
107002	 ke 	ke1	・・・であるということ						
107003	 ke 	ke1	・・・であるということ						
107004	 ke 	ke1	・・・であるということ						
107007	 ke 	ke1	・・・であるということ						
107010	 ke 	ke1	・・・であるということ						
107012	 ke 	ke1	・・・であるということ						
107018	 ke 	ke1	・・・であるということ						
107020	 ke 	ke1	・・・であるということ						
107029	 ke 	ke1	・・・であるということ						
106006	 ke 	ke1	・・・であるということ						
106006	 ke 	ke1	・・・であるということ						
106008	 ke 	ke1	・・・であるということ						
107030	 ke 	ke1	・・・であるということ						
107031	 ke 	ke1	・・・であるということ						
106002	 ke 	ke1	・・・であるということ						
106006	 ke 	ke1	・・・であるということ						
107008	 ke 	ke1	・・・であるということ						
110013	 ke 	ke1	・・・であるということ						
110032	 ke 	ke1	・・・であるということ						
110032	 ke 	ke1	・・・であるということ						
110032	 ke 	ke1	・・・であるということ						
110032	 ke 	ke1	・・・であるということ						
108003	 ke 	ke1	・・・であるということ						
109004	 ke 	ke1	・・・であるということ						
109006	 ke 	ke1	・・・であるということ						
109009	 ke 	ke1	・・・であるということ						
109010	 ke 	ke1	・・・であるということ						
109013	 ke 	ke1	・・・であるということ						
110003	 ke 	ke1	・・・であるということ						
110009	 ke 	ke1	・・・であるということ						
110010	 ke 	ke1	・・・であるということ						
110011	 ke 	ke1	・・・であるということ						
110013	 ke 	ke1	・・・であるということ						
110016	 ke 	ke1	・・・であるということ						
110017	 ke 	ke1	・・・であるということ						
110018	 ke 	ke1	・・・であるということ						
110019	 ke 	ke1	・・・であるということ						
110022	 ke 	ke1	・・・であるということ						
110028	 ke 	ke1	・・・であるということ						
110029	 ke 	ke1	・・・であるということ						
109010	 ke 	ke1	・・・であるということ						
109016	 ke 	ke1	・・・であるということ						
110006	 ke 	ke1	・・・であるということ						
110009	 ke 	ke1	・・・であるということ						
110012	 ke 	ke1	・・・であるということ						
110015	 ke 	ke1	・・・であるということ						
110018	 ke 	ke1	・・・であるということ						
110022	 ke 	ke1	・・・であるということ						
110024	 ke 	ke1	・・・であるということ						
108004	 ke 	ke1	・・・であるということ						
110018	 ke 	ke1	・・・であるということ						
110010	 ke 	ke1	・・・であるということ						
110019	 ke 	ke1	・・・であるということ						
110019	 ke 	ke1	・・・であるということ						
110018	 ke 	ke1	・・・であるということ						
111003	 ke 	ke1	・・・であるということ						
111010	 ke 	ke1	・・・であるということ						
112010	 ke 	ke1	・・・であるということ						
112011	 ke 	ke1	・・・であるということ						
112034	 ke 	ke1	・・・であるということ						
112045	 ke 	ke1	・・・であるということ						
112049	 ke 	ke1	・・・であるということ						
112061	 ke 	ke1	・・・であるということ						
112063	 ke 	ke1	・・・であるということ						
112070	 ke 	ke1	・・・であるということ						
112077	 ke 	ke1	・・・であるということ						
112098	 ke 	ke1	・・・であるということ						
113004	 ke 	ke1	・・・であるということ						
113015	 ke 	ke1	・・・であるということ						
114002	 ke 	ke1	・・・であるということ						
114003	 ke 	ke1	・・・であるということ						
111006	 ke 	ke1	・・・であるということ						
112002	 ke 	ke1	・・・であるということ						
112005	 ke 	ke1	・・・であるということ						
112008	 ke 	ke1	・・・であるということ						
112016	 ke 	ke1	・・・であるということ						
112020	 ke 	ke1	・・・であるということ						
112022	 ke 	ke1	・・・であるということ						
112025	 ke 	ke1	・・・であるということ						
112032	 ke 	ke1	・・・であるということ						
112034	 ke 	ke1	・・・であるということ						
112045	 ke 	ke1	・・・であるということ						
112046	 ke 	ke1	・・・であるということ						
112051	 ke 	ke1	・・・であるということ						
